County Name,People Vaccinated with at least One Dose,People Fully Vaccinated,Median Household Income,Population,% of Population in Poverty,,
Anderson,28 K,25 K,51 K,58 K,20.9,,
Andrews,9 K,8 K,77 K,19 K,9.2,,
Angelina,45 K,40 K,50 K,86 K,17,,
Aransas,16 K,14 K,51 K,24 K,17.1,,
Archer,5 K,4 K,70 K,9 K,6.9,,
Armstrong,1 K,1 K,62 K,2 K,9.3,,
Atascosa,30 K,26 K,61 K,49 K,14.9,,
Austin,17 K,15 K,61 K,30 K,11.4,,
Bailey,3 K,3 K,48 K,7 K,14.4,,
Bandera,12 K,10 K,64 K,21 K,11,,
Bastrop,62 K,52 K,75 K,97 K,10.8,,
Baylor,2 K,1 K,44 K,3 K,15.3,,
Bee,20 K,17 K,46 K,31 K,23.1,,
Bell,189 K,161 K,54 K,371 K,14.7,,
Bexar,"1,563 K","1,317 K",60 K,"2,009 K",15,,
Blanco,7 K,6 K,66 K,11 K,9.8,,
Borden, K, K,69 K,1 K,7.5,,
Bosque,10 K,9 K,58 K,18 K,12.5,,
Bowie,40 K,34 K,50 K,93 K,17.4,,
Brazoria,250 K,223 K,84 K,372 K,8.3,,
Brazos,138 K,120 K,54 K,234 K,22.3,,
Brewster,6 K,5 K,49 K,10 K,14,,
Briscoe,1 K,1 K,50 K,1 K,13.4,,
Brooks,34 K,7 K,34 K,7 K,28.7,,
Brown,18 K,16 K,49 K,38 K,15.6,,
Burleson,10 K,9 K,65 K,18 K,13.1,,
Burnet,29 K,26 K,64 K,49 K,9.5,,
Caldwell,29 K,25 K,66 K,46 K,12.7,,
Calhoun,13 K,11 K,58 K,20 K,12.4,,
Callahan,6 K,5 K,55 K,14 K,12.2,,
Cameron,446 K,350 K,44 K,421 K,24.4,,
Camp,7 K,6 K,43 K,12 K,16.7,,
Carson,2 K,2 K,67 K,6 K,8.3,,
Cass,12 K,11 K,51 K,28 K,17.7,,
Castro,4 K,3 K,55 K,7 K,15.3,,
Chambers,25 K,22 K,90 K,47 K,9.3,,
Cherokee,24 K,22 K,46 K,50 K,16.7,,
Childress,4 K,4 K,45 K,7 K,21.4,,
Clay,5 K,4 K,63 K,10 K,11.1,,
Cochran,1 K,1 K,45 K,3 K,19.2,,
Coke,1 K,1 K,51 K,3 K,11.4,,
Coleman,4 K,3 K,44 K,8 K,16,,
Collin,807 K,710 K,102 K,"1,064 K",6.2,,
Collingsworth,1 K,1 K,48 K,3 K,16.9,,
Colorado,13 K,11 K,53 K,21 K,12.7,,
Comal,110 K,97 K,79 K,162 K,7.5,,
Comanche,7 K,6 K,47 K,14 K,15.9,,
Concho,2 K,1 K,47 K,3 K,13.5,,
Cooke,19 K,16 K,66 K,42 K,11.3,,
Coryell,37 K,33 K,58 K,83 K,12.7,,
Cottle,1 K,1 K,44 K,1 K,17.9,,
Crane,2 K,2 K,68 K,5 K,9,,
Crockett,2 K,2 K,54 K,3 K,12.4,,
Crosby,3 K,3 K,43 K,5 K,19.8,,
Culberson,1 K,1 K,47 K,2 K,18.6,,
Dallam,4 K,3 K,55 K,7 K,11.1,,
Dallas,"1,860 K","1,597 K",66 K,"2,614 K",13.7,,
Dawson,5 K,4 K,47 K,12 K,18.7,,
DeWitt,10 K,9 K,51 K,19 K,15.5,,
Deaf Smith,9 K,8 K,50 K,5 K,14.3,,
Delta,2 K,2 K,91 K,906 K,6.9,,
Denton,627 K,557 K,54 K,20 K,20.5,,
Dickens,1 K,1 K,42 K,2 K,18.9,,
Dimmit,12 K,8 K,43 K,9 K,25.5,,
Donley,1 K,1 K,58 K,3 K,16.3,,
Duval,9 K,7 K,41 K,10 K,20,,
Eastland,8 K,7 K,50 K,18 K,17,,
Ector,84 K,71 K,63 K,165 K,13.6,,
Edwards,1 K,1 K,45 K,1 K,19.1,,
El Paso,863 K,655 K,49 K,866 K,17.6,,
Ellis,113 K,100 K,80 K,192 K,7.9,,
Erath,18 K,16 K,61 K,43 K,12.6,,
Falls,9 K,8 K,45 K,17 K,20,,
Fannin,17 K,15 K,60 K,36 K,15.4,,
Fayette,15 K,13 K,64 K,24 K,9.4,,
Fisher,2 K,1 K,53 K,4 K,13.3,,
Floyd,3 K,3 K,44 K,5 K,17.7,,
Foard,1 K,1 K,41 K,1 K,16.8,,
Fort Bend,674 K,596 K,97 K,823 K,7.4,,
Franklin,5 K,4 K,59 K,10 K,12.9,,
Freestone,9 K,8 K,55 K,19 K,13.3,,
Frio,17 K,14 K,47 K,18 K,22.3,,
Gaines,5 K,5 K,64 K,22 K,11.1,,
Galveston,232 K,209 K,78 K,351 K,9.9,,
Garza,3 K,3 K,51 K,6 K,20.6,,
Gillespie,17 K,15 K,64 K,27 K,9.2,,
Glasscock,1 K,1 K,85 K,1 K,7.3,,
Goliad,4 K,3 K,55 K,7 K,13.2,,
Gonzales,12 K,11 K,55 K,20 K,14.3,,
Gray,10 K,9 K,54 K,21 K,14.2,,
Grayson,70 K,60 K,60 K,136 K,13.6,,
Gregg,67 K,59 K,51 K,124 K,18.1,,
Grimes,18 K,16 K,58 K,29 K,15.3,,
Guadalupe,107 K,93 K,79 K,173 K,8.5,,
Hale,16 K,14 K,47 K,33 K,17.6,,
Hall,1 K,1 K,37 K,3 K,18.6,,
Hamilton,5 K,4 K,53 K,8 K,14.7,,
Hansford,3 K,2 K,61 K,5 K,10.7,,
Hardeman,2 K,2 K,63 K,4 K,15,,
Hardin,25 K,22 K,69 K,56 K,10.4,,
Harris,"3,519 K","3,015 K",62 K,"4,731 K",15.9,,
Harrison,30 K,27 K,55 K,69 K,15.6,,
Hartley,3 K,3 K,75 K,5 K,9.5,,
Haskell,3 K,2 K,45 K,5 K,20,,
Hays,173 K,148 K,78 K,241 K,9.6,,
Hemphill,2 K,2 K,66 K,3 K,9.5,,
Henderson,38 K,34 K,53 K,82 K,14.2,,
Hidalgo,"1,080 K",719 K,47 K,871 K,23.9,,
Hill,17 K,15 K,57 K,36 K,14,,
Hockley,12 K,10 K,55 K,22 K,12.9,,
Hood,34 K,30 K,85 K,62 K,9.4,,
Hopkins,17 K,15 K,54 K,37 K,12.7,,
Houston,11 K,10 K,46 K,22 K,20,,
Howard,15 K,13 K,58 K,35 K,15.7,,
Hudspeth,4 K,4 K,41 K,3 K,24.2,,
Hunt,48 K,43 K,54 K,100 K,12.6,,
Hutchinson,8 K,7 K,63 K,21 K,12.1,,
Irion,1 K,1 K,74 K,2 K,6.9,,
Jack,4 K,4 K,56 K,8 K,13.6,,
Jackson,8 K,7 K,56 K,15 K,12.7,,
Jasper,15 K,13 K,51 K,33 K,17.3,,
Jeff Davis,1 K,1 K,56 K,2 K,22.2,,
Jefferson,145 K,127 K,49 K,257 K,18.3,,
Jim Hogg,4 K,3 K,42 K,5 K,20.1,,
Jim Wells,28 K,23 K,49 K,39 K,20.1,,
Johnson,93 K,82 K,67 K,180 K,9.5,,
Jones,10 K,9 K,47 K,20 K,19.5,,
Karnes,10 K,9 K,56 K,15 K,17.5,,
Kaufman,84 K,73 K,76 K,145 K,9.2,,
Kendall,34 K,30 K,103 K,44 K,6.7,,
Kenedy, K, K,46 K, K,10.8,,
Kent, K, K,53 K,1 K,11.3,,
Kerr,30 K,26 K,57 K,53 K,11.6,,
Kimble,2 K,2 K,48 K,4 K,15.7,,
King, K, K,78 K, K,12.4,,
Kinney,2 K,2 K,63 K,3 K,17.9,,
Kleberg,23 K,19 K,52 K,31 K,20.8,,
Knox,2 K,1 K,46 K,3 K,16.3,,
La Salle,6 K,5 K,46 K,7 K,24,,
Lamar,22 K,20 K,45 K,50 K,19.6,,
Lamb,6 K,6 K,48 K,13 K,17.6,,
Lampasas,11 K,10 K,69 K,22 K,10,,
Lavaca,10 K,9 K,58 K,20 K,10.6,,
Lee,9 K,8 K,61 K,17 K,10.6,,
Leon,8 K,7 K,53 K,16 K,13.8,,
Liberty,47 K,40 K,61 K,92 K,14.4,,
Limestone,11 K,9 K,53 K,22 K,16.8,,
Lipscomb,1 K,1 K,68 K,3 K,11.3,,
Live Oak,5 K,4 K,54 K,11 K,17,,
Llano,13 K,11 K,61 K,21 K,10.9,,
Loving, K, K,97 K, K,3.9,,
Lubbock,171 K,151 K,56 K,311 K,15.8,,
Lynn,3 K,2 K,51 K,6 K,14.4,,
Madison,7 K,6 K,59 K,13 K,17.4,,
Marion,5 K,4 K,42 K,10 K,20,,
Martin,2 K,2 K,73 K,5 K,11.1,,
Mason,2 K,2 K,63 K,4 K,9.8,,
Matagorda,20 K,18 K,52 K,36 K,17.3,,
Maverick,94 K,57 K,41 K,58 K,20,,
McCulloch,3 K,3 K,48 K,8 K,16.2,,
McLennan,152 K,134 K,55 K,261 K,17,,
McMullen, K, K,46 K,1 K,9.7,,
Medina,32 K,28 K,63 K,51 K,11.2,,
Menard,1 K,1 K,41 K,2 K,19.1,,
Midland,89 K,76 K,92 K,170 K,9.7,,
Milam,13 K,12 K,50 K,25 K,17.4,,
Mills,2 K,2 K,49 K,4 K,14.4,,
Mitchell,3 K,3 K,46 K,9 K,18.7,,
Montague,8 K,7 K,56 K,20 K,12.4,,
Montgomery,406 K,349 K,85 K,620 K,8.2,,
Moore,12 K,10 K,53 K,21 K,10.6,,
Morris,6 K,6 K,45 K,12 K,17,,
Motley, K, K,47 K,1 K,16.3,,
Nacogdoches,34 K,30 K,49 K,65 K,19.5,,
Navarro,27 K,24 K,51 K,53 K,14.8,,
Newton,4 K,3 K,46 K,12 K,21.3,,
Nolan,7 K,6 K,42 K,15 K,17.2,,
Nueces,244 K,211 K,56 K,353 K,17.5,,
Ochiltree,4 K,4 K,71 K,10 K,9.2,,
Oldham,1 K,1 K,61 K,2 K,14,,
Orange,35 K,31 K,61 K,85 K,15.1,,
Palo Pinto,13 K,11 K,59 K,28 K,13.9,,
Panola,10 K,9 K,52 K,22 K,15.3,,
Parker,74 K,66 K,89 K,148 K,8,,
Parmer,4 K,4 K,62 K,10 K,12.2,,
Pecos,11 K,10 K,53 K,15 K,16.5,,
Polk,26 K,22 K,48 K,50 K,15,,
Potter,63 K,53 K,46 K,119 K,20.8,,
Presidio,8 K,6 K,40 K,6 K,19.4,,
Rains,5 K,5 K,59 K,12 K,13.6,,
Randall,72 K,63 K,71 K,141 K,9.6,,
Reagan,2 K,2 K,67 K,3 K,8.3,,
Real,2 K,2 K,43 K,3 K,16.4,,
Red River,6 K,5 K,47 K,12 K,15.7,,
Reeves,30 K,14 K,65 K,15 K,19,,
Refugio,4 K,4 K,48 K,7 K,15.3,,
Roberts, K, K,70 K,1 K,6.4,,
Robertson,9 K,8 K,55 K,17 K,14.2,,
Rockwall,72 K,63 K,106 K,108 K,4.8,,
Runnels,5 K,5 K,51 K,10 K,14.3,,
Rusk,25 K,22 K,57 K,52 K,14.2,,
Sabine,4 K,4 K,51 K,10 K,16,,
San Augustine,4 K,4 K,46 K,8 K,19.6,,
San Jacinto,11 K,10 K,52 K,27 K,16.1,,
San Patricio,44 K,38 K,57 K,69 K,14.8,,
San Saba,3 K,2 K,48 K,6 K,17.4,,
Schleicher,1 K,1 K,54 K,2 K,13.2,,
Scurry,9 K,8 K,57 K,17 K,13.8,,
Shackelford,1 K,1 K,65 K,3 K,12.5,,
Shelby,11 K,10 K,41 K,24 K,18,,
Sherman,1 K,1 K,66 K,3 K,11.3,,
Smith,124 K,110 K,61 K,233 K,12.7,,
Somervell,4 K,4 K,68 K,9 K,8.3,,
Starr,96 K,73 K,36 K,66 K,25.2,,
Stephens,4 K,3 K,49 K,9 K,15.6,,
Sterling,1 K,1 K,68 K,1 K,10.2,,
Stonewall,1 K,1 K,60 K,1 K,14.3,,
Sutton,2 K,2 K,65 K,3 K,11.7,,
Swisher,3 K,3 K,40 K,7 K,19.6,,
Tarrant,"1,375 K","1,211 K",72 K,"2,111 K",10.5,,
Taylor,74 K,64 K,53 K,143 K,12.2,,
