County Name,People Vaccinated with at least One Dose,People Fully Vaccinated,Median Household Income,Population,% of Population in Poverty,,
Loving,41,30,"$97,491 ",64,3.9,,
King,60,49,"$78,210 ",265,12.4,,
Kenedy,249,219,"$45,980 ",350,10.8,,
McMullen,362,332,"$45,927 ",600,9.7,,
Borden,231,205,"$69,499 ",631,7.5,,
Kent,317,284,"$53,472 ",753,11.3,,
Terrell,491,409,"$42,849 ",760,14,,
Roberts,292,264,"$69,927 ",827,6.4,,
Motley,468,337,"$46,712 ","1,063",16.3,,
Foard,609,523,"$40,955 ","1,095",16.8,,
Glasscock,712,619,"$85,001 ","1,116",7.3,,
Stonewall,652,591,"$59,802 ","1,245",14.3,,
Sterling,579,505,"$68,435 ","1,372",10.2,,
Cottle,592,522,"$44,430 ","1,380",17.9,,
Edwards,881,758,"$45,330 ","1,422",19.1,,
Briscoe,702,629,"$50,062 ","1,435",13.4,,
Throckmorton,692,609,"$46,820 ","1,440",13.5,,
Irion,746,663,"$73,776 ","1,513",6.9,,
Oldham,877,760,"$61,013 ","1,758",14,,
Dickens,799,719,"$42,034 ","1,770",18.9,,
Armstrong,830,730,"$62,256 ","1,848",9.3,,
Menard,"1,232","1,133","$41,477 ","1,962",19.1,,
Jeff Davis,"1,344","1,200","$55,718 ","1,996",22.2,,
Culberson,"1,345","1,160","$47,479 ","2,188",18.6,,
Schleicher,"1,419","1,302","$54,471 ","2,451",13.2,,
Cochran,"1,283","1,113","$44,584 ","2,547",19.2,,
Collingsworth,"1,125",963,"$47,885 ","2,652",16.9,,
Real,"1,920","1,687","$43,076 ","2,758",16.4,,
Sherman,"1,320","1,024","$66,408 ","2,782",11.3,,
Hall,"1,425","1,256","$36,654 ","2,825",18.6,,
Lipscomb,"1,067",955,"$67,775 ","3,059",11.3,,
Crockett,"1,894","1,630","$54,458 ","3,098",12.4,,
Shackelford,"1,355","1,204","$64,931 ","3,105",12.5,,
Kinney,"2,186","1,862","$62,557 ","3,129",17.9,,
Hudspeth,"4,234","3,589","$40,666 ","3,202",24.2,,
Donley,"1,385","1,205","$57,526 ","3,258",16.3,,
Coke,"1,459","1,303","$51,050 ","3,285",11.4,,
Concho,"1,642","1,391","$47,412 ","3,303",13.5,,
Upton,"1,757","1,536","$59,593 ","3,308",12.1,,
Knox,"1,604","1,435","$46,053 ","3,353",16.3,,
Sutton,"1,875","1,658","$64,612 ","3,372",11.7,,
