County,Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
Anderson,"$38,807 ","$2,243,211 ","$50,879 ","$48,215 ",20.9,27.6
Andrews,"$50,248 ","$948,632 ","$76,600 ","$67,730 ",9.2,12
Angelina,"$42,536 ","$3,691,932 ","$49,943 ","$43,185 ",17,25.1
Aransas,"$54,374 ","$1,294,859 ","$51,461 ","$40,181 ",17.1,30.8
Archer,"$55,290 ","$482,681 ","$69,566 ","$39,001 ",6.9,11.2
Armstrong,"$60,233 ","$112,575 ","$62,256 ","$41,945 ",9.3,12.4
Atascosa,"$41,599 ","$2,151,669 ","$60,594 ","$51,506 ",14.9,22
Austin,"$55,686 ","$1,669,026 ","$60,593 ","$52,723 ",11.4,18
Bailey,"$49,737 ","$333,089 ","$48,259 ","$42,716 ",14.4,23.3
Bandera,"$48,461 ","$1,156,320 ","$64,389 ","$39,386 ",11,21.3
Bastrop,"$42,177 ","$3,863,425 ","$74,612 ","$43,347 ",10.8,16.4
Baylor,"$53,984 ","$189,914 ","$44,392 ","$38,251 ",15.3,21.8
Bee,"$31,834 ","$1,035,034 ","$46,316 ","$38,410 ",23.1,26.1
Bell,"$46,594 ","$17,236,305 ","$53,639 ","$51,085 ",14.7,21.4
Bexar,"$48,569 ","$98,440,756 ","$60,477 ","$56,156 ",15,20.5
Blanco,"$58,805 ","$721,473 ","$66,383 ","$52,746 ",9.8,14.6
Borden,"$66,783 ","$47,149 ","$69,499 ","$44,200 ",7.5,8.5
Bosque,"$45,635 ","$848,954 ","$58,056 ","$44,802 ",12.5,19.2
Bowie,"$44,151 ","$4,127,249 ","$50,326 ","$43,760 ",17.4,23.4
Brazoria,"$51,812 ","$19,715,560 ","$83,576 ","$60,095 ",8.3,10
Brazos,"$43,430 ","$10,099,812 ","$53,570 ","$45,728 ",22.3,19.5
Brewster,"$52,483 ","$484,790 ","$48,537 ","$43,944 ",14,16.6
Briscoe,"$45,758 ","$68,042 ","$50,062 ","$35,465 ",13.4,22.8
Brooks,"$41,529 ","$289,209 ","$33,513 ","$45,830 ",28.7,45
Brown,"$42,771 ","$1,609,591 ","$48,752 ","$40,208 ",15.6,22.3
Burleson,"$49,975 ","$925,246 ","$64,836 ","$50,580 ",13.1,19.9
Burnet,"$53,751 ","$2,668,891 ","$63,813 ","$46,817 ",9.5,16.4
Caldwell,"$38,734 ","$1,703,464 ","$66,128 ","$40,828 ",12.7,18.6
Calhoun,"$52,180 ","$1,095,838 ","$58,470 ","$74,656 ",12.4,21.4
Callahan,"$45,798 ","$646,215 ","$54,862 ","$45,481 ",12.2,19
Cameron,"$33,690 ","$14,290,654 ","$44,440 ","$36,665 ",24.4,34.6
Camp,"$40,272 ","$525,947 ","$43,130 ","$41,807 ",16.7,24.8
Carson,"$48,021 ","$281,114 ","$66,597 ","$87,661 ",8.3,10.7
Cass,"$41,275 ","$1,233,249 ","$50,595 ","$39,871 ",17.7,25.6
Castro,"$71,612 ","$529,642 ","$55,139 ","$39,688 ",15.3,20.4
Chambers,"$59,687 ","$2,721,128 ","$89,991 ","$66,603 ",9.3,11
Cherokee,"$38,190 ","$2,019,270 ","$45,894 ","$38,116 ",16.7,24.4
Childress,"$34,028 ","$243,063 ","$45,473 ","$39,678 ",21.4,24.1
Clay,"$48,038 ","$506,805 ","$62,763 ","$39,721 ",11.1,14.6
Cochran,"$44,903 ","$130,085 ","$44,584 ","$44,576 ",19.2,29.4
Coke,"$45,856 ","$152,381 ","$51,050 ","$49,756 ",11.4,18
Coleman,"$47,128 ","$381,740 ","$43,623 ","$35,010 ",16,28.1
Collin,"$71,246 ","$76,380,741 ","$101,560 ","$73,602 ",6.2,6.7
Collingsworth,"$44,903 ","$129,186 ","$47,885 ","$42,916 ",16.9,25.5
Colorado,"$51,732 ","$1,117,922 ","$52,726 ","$46,248 ",12.7,18.4
Comal,"$62,994 ","$10,382,141 ","$79,290 ","$49,014 ",7.5,9.4
